fips,total_pop,white,Gini,gini,singpar,college2000,mhi,rent_burden,opioids,unemp
38105,35208,28778,0.4329,43.2,8.116121062384188,16.51594114040466,80161,NA,66.2,1.9
39001,27776,27455,0.4815,45.3,7.5915964680807875,10.04001066951187,41644,34.4,88.3,7
39003,103175,85161,0.4328,42.3,10.461621834663514,15.954137150368801,51325,31.4,99,4.5
39005,53536,51783,0.4143,38.9,6.704961366409109,16.920541093554622,51103,23.8,49.1,4.6
39007,97830,90804,0.4508,40.7,9.620085557139946,12.510769054046293,45157,32.1,75,5.2
39009,65917,60024,0.5025,48,7.391898042785617,26.314139736074978,42955,NA,91.4,5.7
39011,45729,44142,0.3962,37.1,9.095413753234597,14.84748852501709,63336,23.7,52.5,3.3
39013,68024,63374,0.453,44.5,8.635590818928875,14.119407267733804,52221,NA,103.1,5.5
39015,43572,42265,0.4099,38.7,10.539749735416796,9.141426268308578,48207,26.8,96.1,5.4
39017,380019,320689,0.4416,42.2,9.736300498724283,24.731928681393434,64026,29.6,85.1,4.1
39019,27332,27126,0.4287,42.4,7.314459230150933,11.334861928023129,51296,NA,46.2,5.3
39021,38845,36711,0.3758,38.3,9.659458759549398,13.975867383377814,54335,27.6,74.7,3.8
39023,134726,116999,0.4306,41.6,10.562592472303418,16.168850318068838,47654,30.8,109.2,4.6
39025,204275,194339,0.4401,41,9.66573311596929,23.8165360821442,66193,28.2,88,4.1
39027,41957,39562,0.4288,38.2,10.177071372454222,14.177849346931472,50794,26.9,109.1,5.2
39029,103190,97715,0.4403,42.2,9.64164231303598,11.275690905978855,43123,25.8,92.4,5.1
39031,36585,35436,0.4235,39.5,9.708260105448154,10.135299359961111,44471,26.2,85,6.2
39033,41821,40391,0.4519,40.1,8.189955512676207,10.867462108997097,45395,26.4,96.7,5.2
39035,1247451,778519,0.5113,48,11.363418659828758,27.442329623171045,46918,31.1,67,4.9
